Year,Debt Service,Debt Service Ratio (%)
2013,37587.2,8.797573102652319
2014,91757.7,20.056003465736293
2015,48586.6,10.146920312176947
2016,75511.5,16.576192003413954
2017,49013.2,9.580830363912906
2018,60205.100000000006,11.551785702978862
2019,47650.7,8.49362247944538
2020,74641.09999999999,13.211298183844963
2021,50878.1,8.313588911663512
2022,62462.9,10.148054640334289
2023,73954.6,11.434148887632425
